player_id,player_name,batting_innings,bowling_innings,total_runs_scored,total_balls_faced,total_fours,total_sixes,total_catches,total_runouts,total_balls_bowled,total_dot_balls,total_wickets,total_LBWs/Bowled,total_runs_conceded,total_stumpings
e70a0811,Nasir Aziz,15,23,141,234,19,0,2,3,927,490,31,13,794,0
56c205b7,PJ Forrest,38,0,846,1047,70,14,16,1,0,0,0,0,0,0
1b3acd33,MD Bates,55,43,715,1410,82,11,46,0,3378,2548,65,18,1846,6
24fd039c,CFK van Wyk,36,0,974,2107,121,1,67,5,0,0,0,0,0,2
1e5708ac,Zahid Hussain,3,4,10,32,1,0,2,0,154,71,3,0,127,0
ecfc99ce,P Rossouw,1,1,12,7,2,0,0,0,19,8,0,0,17,0
b9da0353,KB Burger,1,1,0,1,0,0,0,0,44,21,1,0,45,0
7001dee4,AW Robinson,5,0,71,60,8,3,2,2,0,0,0,0,0,0
9a06679d,CD Hartley,9,0,80,79,6,0,14,9,0,0,0,0,0,3
956887b2,AC McDermott,1,14,0,5,0,0,5,0,286,103,21,4,397,0
f201593c,LA Doran,3,13,6,7,1,0,2,1,193,60,8,2,248,0
0c5c3a87,DLR Smith,14,0,72,108,7,0,10,7,0,0,0,0,0,4
32866fe7,CA Philipson,2,0,4,15,0,0,0,0,0,0,0,0,0,0
39f82db3,DJ Harris,23,11,462,467,39,12,10,2,153,54,7,5,186,0
78ba5d1b,AK Heal,2,3,1,4,0,0,0,0,72,26,3,0,88,0
0c8836b6,AJ Crosthwaite,6,0,60,60,5,2,3,4,0,0,0,0,0,3
d901964b,CJ Borgas,22,2,345,318,27,7,10,0,13,2,0,0,34,0
1e0d5c4d,MJ Buchanan,1,0,11,18,1,0,0,0,0,0,0,0,0,0
d29be810,AW O'Brien,11,22,68,69,3,2,5,1,478,154,22,4,571,0
b0b320a0,BM Edmondson,6,19,5,17,0,0,3,1,445,134,26,6,658,0
593513d5,TIF Triffitt,18,0,173,141,12,8,22,5,0,0,0,0,0,1
25d12bb4,WD Sheridan,8,10,66,68,4,0,7,1,175,72,12,1,245,0
