match_id,player_id,player_name,actual_fantasy_points,role,team_name,predicted_fantasy_points
1426549,989889ff,JP Inglis,85,Wicket-Keeper,Australia,38.59059883873698
1426549,fa433be6,M Labuschagne,47,All-Rounder,Australia,37.32698697811154
1426550,b681e71e,GJ Maxwell,18,All-Rounder,Australia,64.14555050839395
1426550,8a75e999,Babar Azam,25,Batsman,Pakistan,51.486199416993
1426550,14f96089,A Zampa,46,Bowler,Australia,50.07143013132202
1426550,8596fe80,Mohammad Hasnain,25,Bowler,Pakistan,50.06535000194336
1426550,24bb1c2f,Haris Rauf,151,Bowler,Pakistan,48.09490266328837
1426550,ded9240e,PJ Cummins,15,Bowler,Australia,46.3966901915476
1426550,45a7e761,Shaheen Shah Afridi,99,Bowler,Pakistan,45.858576094602334
1426550,a90e53ec,MW Short,26,All-Rounder,Australia,40.2989275828837
1426550,30a45b23,SPD Smith,42,All-Rounder,Australia,40.01212647501652
1426550,3fb19989,MA Starc,-1,Bowler,Australia,38.5542682927552
1426550,989889ff,JP Inglis,20,Wicket-Keeper,Australia,27.84422881971644
1426551,24bb1c2f,Haris Rauf,62,Bowler,Pakistan,55.09729413859005
1426551,b681e71e,GJ Maxwell,-2,All-Rounder,Australia,54.15024376856958
1426551,d9273ee7,MP Stoinis,7,All-Rounder,Australia,47.54667672315024
1426551,45a7e761,Shaheen Shah Afridi,89,Bowler,Pakistan,45.333404058186666
1426551,14f96089,A Zampa,14,Bowler,Australia,43.8662195452164
1426551,8596fe80,Mohammad Hasnain,54,Bowler,Pakistan,42.27486077263771
1426551,9c9af282,Naseem Shah,79,Bowler,Pakistan,38.43851897145648
1426551,1a2676c5,SA Abbott,30,Bowler,Australia,37.05939831603455
1426551,d405c0d5,AM Hardie,8,All-Rounder,Australia,36.42141571905845
1426551,8a75e999,Babar Azam,32,Batsman,Pakistan,33.30359443715947
1426551,2f26ac1a,Mohammad Rizwan,61,Wicket-Keeper,Pakistan,29.24448547581061
1427834,00823a96,KL Gordon,-2,Bowler,The Blaze,52.0690643160731
1427834,f13d3eba,KE Bryce,138,All-Rounder,The Blaze,48.94315771078454
1427834,11ff23e3,J Groves,10,Bowler,The Blaze,48.866594886670384
1427834,99812d10,H Graham,137,Bowler,The Blaze,48.599654500013415
1427834,d7ff1adc,CR Knott,120,All-Rounder,Southern Vipers,46.259655348733425
1427834,7b1f2542,GL Adams,96,All-Rounder,Southern Vipers,40.664663758592624
1427834,ef7baafc,A Lee,50,Bowler,Southern Vipers,34.226959294963024
1427834,fbd79b9b,LF Higham,15,Bowler,The Blaze,32.95559234960508
1427834,0c694738,AZ Monaghan,10,Bowler,Southern Vipers,32.66288724091615
1427834,2ca65aee,SJ Bryce,53,Wicket-Keeper,The Blaze,32.06443882082951
1427834,ed2711ea,EM McCaughan,30,Batsman,Southern Vipers,22.40333599928801
1427835,2e0b6638,EA Burns,39,Bowler,Northern Diamonds,54.81430174377627
1427835,9b3bcca4,A Wellington,37,Bowler,Western Storm,44.27408775099373
1427835,c296dba1,Sophia Smale,34,Bowler,Western Storm,42.70301068392298
1427835,9da0d1e5,A Glen,50,Bowler,Northern Diamonds,39.591371193182354
1427835,e19307f3,SN Luff,8,Batsman,Western Storm,39.083816506383904
1427835,53e25aa3,PE Turner,25,Bowler,Northern Diamonds,38.36516660550996
1427835,091001f8,A Griffiths,8,Bowler,Western Storm,36.96729921645333
1427835,7442f8dd,S Turner,0,Bowler,Northern Diamonds,36.92490919751923
1427835,5f86ce69,E Anderson,25,Bowler,Western Storm,36.47553271451384
1427835,f05167d2,HJ Armitage,140,All-Rounder,Northern Diamonds,31.913239302557365
1427835,1ec1998e,NAJ Wraith,41,Wicket-Keeper,Western Storm,30.872740367903013
1427836,58717de2,E Gray,0,Bowler,Sunrisers,51.40425007096432
1427836,cd62f670,MK Villiers,0,Bowler,Sunrisers,49.8825486378023
