match_id,player_id,player_name,actual_fantasy_points,role,team_name,predicted_fantasy_points
1415091,dd6e32da,JB Cracknell,72,Wicket-Keeper,Middlesex,28.022458410818608
1415091,18fac429,SR Patel,66,All-Rounder,Derbyshire,80.49205849929
1415091,8159d5fc,BD Guest,60,Wicket-Keeper,Derbyshire,23.24355883472394
1415091,7578b730,HJ Moore,50,Bowler,Derbyshire,53.045317884901245
1415091,d26e0405,MK Andersson,50,All-Rounder,Middlesex,47.23629383969999
1415091,067bda18,S Conners,50,Bowler,Derbyshire,48.1107914994184
1415091,76cb1a7f,SD Robson,39,Batsman,Middlesex,32.824573853440995
1415092,a6c17509,TE Albert,120,Batsman,Hampshire,20.119616632488096
1415092,7a32c1c1,ARI Umeed,109,Batsman,Somerset,48.22425398180118
1415092,819ae1ad,FS Organ,85,All-Rounder,Hampshire,46.43073405154413
1415092,0207ff32,TJ Prest,80,All-Rounder,Hampshire,40.832190509624226
1415092,a9da7784,KJ Abbott,74,Bowler,Hampshire,38.73675448761902
1415092,8492a4de,FS Middleton,65,Batsman,Hampshire,21.598110697940065
1415092,660538af,EO Leonard,64,Bowler,Somerset,45.30618868994411
1415092,3f61a062,BTJ Wheal,58,Bowler,Hampshire,62.02491258062359
1415092,bdd4bc21,JF Thomas,46,Bowler,Somerset,32.754446948014944
1415092,31b01074,Kasey Aldridge,45,All-Rounder,Somerset,47.628271551500035
1415092,521595e7,JEK Rew,38,Wicket-Keeper,Somerset,29.16532204093385
1415093,19708692,MW Parkinson,146,Bowler,Kent,46.399934165488126
1415093,8479a24a,KK Jennings,146,All-Rounder,Lancashire,33.17946106480653
1415093,6e0a2209,B Swanepoel,104,Bowler,Kent,20.207698670443044
1415093,19b9f399,CJ Green,101,Bowler,Lancashire,1.047496500387494
1415093,6b16f8ba,HZ Finch,83,Wicket-Keeper,Kent,23.027161062868124
1415093,098229a5,CH Stobo,72,All-Rounder,Kent,28.14989678963338
1415093,861eed37,WSA Williams,56,Bowler,Lancashire,41.36627276068025
1415093,d3a625ec,CM Barnard,51,Bowler,Lancashire,16.517252981617258
1415093,a6581d15,JK Denly,45,Bowler,Kent,34.76061121841975
1415093,35c08a29,JM Blatherwick,40,Bowler,Lancashire,47.032583824934825
1415093,82585454,Ekansh Singh,14,Batsman,Kent,14.588977504631982
1415094,d617bf90,TI Hinley,191,Bowler,Worcestershire,1.047496500387494
1415094,0d61d8f0,JD Libby,111,All-Rounder,Worcestershire,61.33599933944499
1415094,867a45a7,TAI Taylor,107,All-Rounder,Worcestershire,45.85874650407823
1415094,1d48795b,F Singh,105,Bowler,Worcestershire,40.61085864359434
1415094,1db6e336,BS McKinney,101,Batsman,Durham,13.644877285000812
1415094,71440756,P Coughlin,96,All-Rounder,Durham,40.5069700033855
1415094,fe1e8fe9,J Minto,66,Bowler,Durham,1.047496500387494
1415094,01f857ae,MJ Killeen,57,Bowler,Durham,29.014236228641977
1415094,51e1ed69,SG Borthwick,46,All-Rounder,Durham,34.29908106495903
1415094,2ca9cf48,JJ Bushnell,44,All-Rounder,Durham,35.25186750724947
1415094,7081848a,GH Roderick,38,Wicket-Keeper,Worcestershire,32.125396945868175
1415095,27e60d6e,AS Dale,150,Bowler,Gloucestershire,37.16132202000975
1415095,dbb15645,DC Goodman,141,Bowler,Gloucestershire,25.165128316329657
1415095,c2e5539b,LM Benkenstein,129,All-Rounder,Essex,32.9602728581694
1415095,a790df98,S Snater,109,Bowler,Essex,61.889043422131536
1415095,0a12e736,TMJ Smith,90,Bowler,Gloucestershire,37.16446269202839
1415095,39e2c0fd,BMJ Allison,89,Bowler,Essex,43.10381164874302
1415095,734344b3,RJ Das,73,Batsman,Essex,22.193579602201368
1415095,04cd872b,JA Richards,73,Bowler,Essex,33.977946200208436
1415095,f8a63b6f,NRM Thain,41,All-Rounder,Essex,24.79087851753673
1415095,4f034a50,FIN Khushi,40,Batsman,Essex,24.92849474796025
1415095,5bfdc77a,James Bracey,14,Wicket-Keeper,Gloucestershire,31.2122627561946
1415096,b3544c5d,BA Hutton,216,Bowler,Nottinghamshire,45.76426506834098
1415096,a37b5c0a,BO Coad,165,Bowler,Yorkshire,29.410589759158498
1415096,2baad3bd,LW James,154,All-Rounder,Nottinghamshire,73.3746673905519
1415096,ad46c747,DM Bess,85,All-Rounder,Yorkshire,41.441464531600225
1415096,fe0c5457,H Hameed,51,Batsman,Nottinghamshire,27.08726909524266
1415096,2413a688,DJ Leech,46,Bowler,Yorkshire,34.59267811473104
1415096,6ea2710f,D Moriarty,44,Bowler,Yorkshire,30.687478651520344
1415096,d48c0f40,LA Patterson-White,44,All-Rounder,Nottinghamshire,51.97559051940927
1415096,85dcb721,TJ Moores,40,Wicket-Keeper,Nottinghamshire,27.67336961496028
1415096,1e0d4dcb,FJ Bean,36,Batsman,Yorkshire,15.961602994194338
1415096,214f6461,GCH Hill,34,All-Rounder,Yorkshire,40.56285475450124
1415097,eafe8a94,BI Kellaway,74,Bowler,Glamorgan,51.873810101710944
1415097,c995d726,CA Ingram,70,All-Rounder,Glamorgan,49.61976307344623
1415097,03df7a25,DA Douthwaite,58,All-Rounder,Glamorgan,43.02965941215618
1415097,fd770945,BT Foakes,53,Wicket-Keeper,Surrey,25.18512501331901
1415097,5ccdb14f,C McKerr,52,Bowler,Surrey,49.24908545505522
1415097,80e44dc5,JP McIlroy,50,Bowler,Glamorgan,22.952887411876137
1415097,7d7233a9,AW Gorvin,50,Bowler,Glamorgan,42.49732750620584
1415097,57a76baa,MP Dunn,39,Bowler,Surrey,45.64218566452281
1415097,9e1b7792,EJ Byrom,37,Batsman,Glamorgan,34.84668954269695
1415097,5c86c3c2,JPA Taylor,36,Bowler,Surrey,39.07368121391077
1415097,97da28bd,WT Smale,32,Batsman,Glamorgan,21.665725432458068
1415098,932d3cc9,FJ Hudson-Prentice,108,All-Rounder,Sussex,57.89972722965669
1415098,27fc5808,HT Crocombe,98,Bowler,Sussex,48.07942183843656
1415098,92205bc7,MG Booth,93,Bowler,Warwickshire,22.215210284541257
1415098,f54dbda7,WMH Rhodes,84,All-Rounder,Warwickshire,37.8533531591414
1415098,a510bdd3,EG Barnard,70,All-Rounder,Warwickshire,86.151628176751
1415098,a5735bd3,A Karvelas,68,Bowler,Sussex,39.86656388451649
